"chr","from","to","bkpt_in_window_ESAD","bkpt_in_window_GACA","bkpt_in_window_LIRI","bkpt_in_window_MALY","bkpt_in_window_OV","bkpt_in_window_PACA","bkpt_in_window_RECA","total_bkpt_in_window_ESAD","total_bkpt_in_window_GACA","total_bkpt_in_window_LIRI","total_bkpt_in_window_MALY","total_bkpt_in_window_OV","total_bkpt_in_window_PACA","total_bkpt_in_window_RECA","density_ESAD","density_GACA","density_LIRI","density_MALY","density_OV","density_PACA","density_RECA"
"1",1e+06,1500000,18,12,8,3,21,11,0,3174,846,4562,734,3418,3028,117,0.0056710775047259,0.0141843971631206,0.00175361683472161,0.00408719346049046,0.0061439438267993,0.00363276089828269,0
"1",1500000,2e+06,16,5,8,7,15,13,0,3174,846,4562,734,3418,3028,117,0.00504095778197858,0.00591016548463357,0.00175361683472161,0.00953678474114441,0.00438853130485664,0.00429326287978864,0
"1",2e+06,2500000,11,5,9,12,7,14,0,3174,846,4562,734,3418,3028,117,0.00346565847511027,0.00591016548463357,0.00197281893906182,0.0163487738419619,0.00204798127559977,0.00462351387054161,0
"1",3e+06,3500000,14,2,4,5,1,6,0,3174,846,4562,734,3418,3028,117,0.00441083805923125,0.00236406619385343,0.000876808417360807,0.00681198910081744,0.000292568753657109,0.00198150594451783,0
"1",3500000,4e+06,5,0,3,7,2,3,0,3174,846,4562,734,3418,3028,117,0.0015752993068683,0,0.000657606313020605,0.00953678474114441,0.000585137507314219,0.000990752972258917,0
"1",4500000,5e+06,3,0,6,1,3,7,3,3174,846,4562,734,3418,3028,117,0.000945179584120983,0,0.00131521262604121,0.00136239782016349,0.000877706260971328,0.00231175693527081,0.0256410256410256
"1",5e+06,5500000,1,2,3,3,2,2,0,3174,846,4562,734,3418,3028,117,0.000315059861373661,0.00236406619385343,0.000657606313020605,0.00408719346049046,0.000585137507314219,0.000660501981505945,0
"1",6e+06,6500000,8,0,21,0,12,13,0,3174,846,4562,734,3418,3028,117,0.00252047889098929,0,0.00460324419114424,0,0.00351082504388531,0.00429326287978864,0
"1",6500000,7e+06,6,4,19,3,7,8,0,3174,846,4562,734,3418,3028,117,0.00189035916824197,0.00472813238770686,0.00416483998246383,0.00408719346049046,0.00204798127559977,0.00264200792602378,0
"1",7e+06,7500000,4,0,4,3,2,4,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0,0.000876808417360807,0.00408719346049046,0.000585137507314219,0.00132100396301189,0
