"","chr","start","end"
"1","1",1e+06,1500000
"2","1",1500000,2e+06
"3","1",2e+06,2500000
"4","1",3e+06,3500000
"5","1",3500000,4e+06
"6","1",4500000,5e+06
"7","1",5e+06,5500000
"8","1",6e+06,6500000
"9","1",6500000,7e+06
"10","1",7e+06,7500000
"11","1",7500000,8e+06
"12","1",8e+06,8500000
"13","1",8500000,9e+06
"14","1",9e+06,9500000
"15","1",9500000,1e+07
"16","1",1e+07,10500000
"17","1",10500000,1.1e+07
"18","1",1.1e+07,11500000
"19","1",11500000,1.2e+07
"20","1",1.2e+07,12500000
"21","1",12500000,1.3e+07
"22","1",1.3e+07,13500000
"23","1",13500000,1.4e+07
"24","1",1.4e+07,14500000
"25","1",14500000,1.5e+07
"26","1",1.5e+07,15500000
"27","1",15500000,1.6e+07
"28","1",1.6e+07,16500000
"29","1",1.7e+07,17500000
"30","1",17500000,1.8e+07
"31","1",1.8e+07,18500000
"32","1",18500000,1.9e+07
"33","1",1.9e+07,19500000
"34","1",19500000,2e+07
"35","1",2e+07,20500000
"36","1",20500000,2.1e+07
"37","1",2.1e+07,21500000
"38","1",21500000,2.2e+07
"39","1",2.2e+07,22500000
"40","1",22500000,2.3e+07
"41","1",2.3e+07,23500000
"42","1",23500000,2.4e+07
"43","1",2.4e+07,24500000
"44","1",24500000,2.5e+07
"45","1",2.5e+07,25500000
"46","1",25500000,2.6e+07
"47","1",2.6e+07,26500000
"48","1",26500000,2.7e+07
"49","1",2.7e+07,27500000
"50","1",27500000,2.8e+07
"51","1",2.8e+07,28500000
"52","1",28500000,2.9e+07
"53","1",2.9e+07,29500000
"54","1",29500000,3e+07
"55","1",3e+07,30500000
"56","1",30500000,3.1e+07
"57","1",3.1e+07,31500000
"58","1",31500000,3.2e+07
"59","1",3.2e+07,32500000
"60","1",32500000,3.3e+07
"61","1",3.3e+07,33500000
"62","1",33500000,3.4e+07
"63","1",3.4e+07,34500000
"64","1",34500000,3.5e+07
"65","1",3.5e+07,35500000
"66","1",35500000,3.6e+07
"67","1",3.6e+07,36500000
"68","1",36500000,3.7e+07
"69","1",3.7e+07,37500000
"70","1",37500000,3.8e+07
"71","1",38500000,3.9e+07
"72","1",3.9e+07,39500000
"73","1",39500000,4e+07
"74","1",4e+07,40500000
"75","1",40500000,4.1e+07
"76","1",4.1e+07,41500000
"77","1",41500000,4.2e+07
"78","1",4.2e+07,42500000
"79","1",42500000,4.3e+07
"80","1",4.3e+07,43500000
"81","1",43500000,4.4e+07
"82","1",4.4e+07,44500000
"83","1",44500000,4.5e+07
"84","1",4.5e+07,45500000
"85","1",45500000,4.6e+07
"86","1",4.6e+07,46500000
"87","1",46500000,4.7e+07
"88","1",4.7e+07,47500000
"89","1",47500000,4.8e+07
"90","1",4.8e+07,48500000
"91","1",48500000,4.9e+07
"92","1",4.9e+07,49500000
"93","1",49500000,5e+07
"94","1",5e+07,50500000
"95","1",50500000,5.1e+07
"96","1",5.1e+07,51500000
"97","1",51500000,5.2e+07
"98","1",5.2e+07,52500000
"99","1",52500000,5.3e+07
"100","1",5.3e+07,53500000
"101","1",53500000,5.4e+07
"102","1",5.4e+07,54500000
"103","1",54500000,5.5e+07
"104","1",5.5e+07,55500000
"105","1",55500000,5.6e+07
"106","1",5.6e+07,56500000
"107","1",56500000,5.7e+07
"108","1",5.7e+07,57500000
"109","1",57500000,5.8e+07
"110","1",5.8e+07,58500000
"111","1",58500000,5.9e+07
"112","1",5.9e+07,59500000
"113","1",59500000,6e+07
"114","1",6e+07,60500000
"115","1",60500000,6.1e+07
"116","1",6.1e+07,61500000
"117","1",61500000,6.2e+07
"118","1",6.2e+07,62500000
"119","1",62500000,6.3e+07
"120","1",6.3e+07,63500000
"121","1",63500000,6.4e+07
"122","1",6.4e+07,64500000
"123","1",64500000,6.5e+07
"124","1",6.5e+07,65500000
"125","1",65500000,6.6e+07
"126","1",6.6e+07,66500000
"127","1",66500000,6.7e+07
"128","1",6.7e+07,67500000
"129","1",67500000,6.8e+07
"130","1",6.8e+07,68500000
"131","1",68500000,6.9e+07
"132","1",6.9e+07,69500000
"133","1",69500000,7e+07
"134","1",7e+07,70500000
"135","1",70500000,7.1e+07
"136","1",7.1e+07,71500000
"137","1",71500000,7.2e+07
"138","1",7.2e+07,72500000
"139","1",72500000,7.3e+07
"140","1",7.3e+07,73500000
"141","1",73500000,7.4e+07
"142","1",7.4e+07,74500000
"143","1",74500000,7.5e+07
"144","1",7.5e+07,75500000
"145","1",75500000,7.6e+07
"146","1",7.6e+07,76500000
"147","1",76500000,7.7e+07
"148","1",7.7e+07,77500000
"149","1",77500000,7.8e+07
"150","1",7.8e+07,78500000
"151","1",78500000,7.9e+07
"152","1",7.9e+07,79500000
"153","1",79500000,8e+07
"154","1",8e+07,80500000
"155","1",80500000,8.1e+07
"156","1",8.1e+07,81500000
"157","1",81500000,8.2e+07
"158","1",8.2e+07,82500000
"159","1",82500000,8.3e+07
"160","1",8.3e+07,83500000
"161","1",83500000,8.4e+07
"162","1",8.4e+07,84500000
"163","1",84500000,8.5e+07
"164","1",8.5e+07,85500000
"165","1",85500000,8.6e+07
"166","1",8.6e+07,86500000
"167","1",86500000,8.7e+07
"168","1",8.7e+07,87500000
"169","1",87500000,8.8e+07
"170","1",8.8e+07,88500000
"171","1",88500000,8.9e+07
"172","1",8.9e+07,89500000
"173","1",89500000,9e+07
"174","1",9e+07,90500000
"175","1",90500000,9.1e+07
"176","1",9.1e+07,91500000
"177","1",9.2e+07,92500000
"178","1",92500000,9.3e+07
"179","1",9.3e+07,93500000
"180","1",93500000,9.4e+07
"181","1",9.4e+07,94500000
"182","1",94500000,9.5e+07
"183","1",9.5e+07,95500000
"184","1",95500000,9.6e+07
"185","1",9.6e+07,96500000
"186","1",96500000,9.7e+07
"187","1",9.7e+07,97500000
"188","1",97500000,9.8e+07
"189","1",9.8e+07,98500000
"190","1",98500000,9.9e+07
"191","1",9.9e+07,99500000
"192","1",99500000,1e+08
"193","1",1e+08,100500000
"194","1",100500000,1.01e+08
"195","1",1.01e+08,101500000
"196","1",101500000,1.02e+08
"197","1",1.02e+08,102500000
"198","1",102500000,1.03e+08
"199","1",1.03e+08,103500000
"200","1",103500000,1.04e+08
"201","1",104500000,1.05e+08
"202","1",1.05e+08,105500000
"203","1",105500000,1.06e+08
"204","1",1.06e+08,106500000
"205","1",106500000,1.07e+08
"206","1",1.07e+08,107500000
"207","1",107500000,1.08e+08
"208","1",108500000,1.09e+08
"209","1",1.09e+08,109500000
"210","1",109500000,1.1e+08
"211","1",1.1e+08,110500000
"212","1",110500000,1.11e+08
"213","1",1.11e+08,111500000
"214","1",111500000,1.12e+08
"215","1",1.12e+08,112500000
"216","1",112500000,1.13e+08
"217","1",1.13e+08,113500000
"218","1",113500000,1.14e+08
"219","1",1.14e+08,114500000
"220","1",114500000,1.15e+08
"221","1",1.15e+08,115500000
"222","1",115500000,1.16e+08
"223","1",1.16e+08,116500000
"224","1",116500000,1.17e+08
"225","1",1.17e+08,117500000
"226","1",117500000,1.18e+08
"227","1",1.18e+08,118500000
"228","1",118500000,1.19e+08
"229","1",1.19e+08,119500000
"230","1",119500000,1.2e+08
"231","1",1.2e+08,120500000
"232","1",120500000,1.21e+08
"233","1",1.25e+08,125500000
"234","1",125500000,1.26e+08
"235","1",1.26e+08,126500000
"236","1",126500000,1.27e+08
"237","1",1.27e+08,127500000
"238","1",127500000,1.28e+08
"239","1",1.28e+08,128500000
"240","1",128500000,1.29e+08
"241","1",1.29e+08,129500000
"242","1",129500000,1.3e+08
"243","1",1.3e+08,130500000
"244","1",130500000,1.31e+08
"245","1",1.31e+08,131500000
"246","1",131500000,1.32e+08
"247","1",1.32e+08,132500000
"248","1",132500000,1.33e+08
"249","1",1.33e+08,133500000
"250","1",133500000,1.34e+08
"251","1",1.34e+08,134500000
"252","1",134500000,1.35e+08
"253","1",1.35e+08,135500000
"254","1",135500000,1.36e+08
"255","1",1.36e+08,136500000
"256","1",136500000,1.37e+08
"257","1",1.37e+08,137500000
"258","1",137500000,1.38e+08
"259","1",1.38e+08,138500000
"260","1",138500000,1.39e+08
"261","1",1.39e+08,139500000
"262","1",139500000,1.4e+08
"263","1",1.4e+08,140500000
"264","1",140500000,1.41e+08
"265","1",1.41e+08,141500000
"266","1",141500000,1.42e+08
"267","1",1.42e+08,142500000
"268","1",143500000,1.44e+08
"269","1",1.44e+08,144500000
"270","1",144500000,1.45e+08
"271","1",145500000,1.46e+08
"272","1",1.46e+08,146500000
"273","1",146500000,1.47e+08
"274","1",1.47e+08,147500000
"275","1",147500000,1.48e+08
"276","1",1.48e+08,148500000
"277","1",148500000,1.49e+08
"278","1",149500000,1.5e+08
"279","1",1.5e+08,150500000
"280","1",150500000,1.51e+08
"281","1",1.51e+08,151500000
"282","1",151500000,1.52e+08
"283","1",1.52e+08,152500000
"284","1",152500000,1.53e+08
"285","1",1.53e+08,153500000
"286","1",153500000,1.54e+08
"287","1",1.54e+08,154500000
"288","1",154500000,1.55e+08
"289","1",1.55e+08,155500000
"290","1",155500000,1.56e+08
"291","1",156500000,1.57e+08
"292","1",1.57e+08,157500000
"293","1",157500000,1.58e+08
"294","1",1.58e+08,158500000
"295","1",158500000,1.59e+08
"296","1",1.59e+08,159500000
"297","1",159500000,1.6e+08
"298","1",1.6e+08,160500000
"299","1",160500000,1.61e+08
"300","1",1.61e+08,161500000
"301","1",161500000,1.62e+08
"302","1",1.62e+08,162500000
"303","1",162500000,1.63e+08
"304","1",1.63e+08,163500000
"305","1",163500000,1.64e+08
"306","1",1.64e+08,164500000
"307","1",164500000,1.65e+08
"308","1",1.65e+08,165500000
"309","1",165500000,1.66e+08
"310","1",1.66e+08,166500000
"311","1",166500000,1.67e+08
"312","1",1.67e+08,167500000
"313","1",167500000,1.68e+08
"314","1",1.68e+08,168500000
"315","1",168500000,1.69e+08
"316","1",1.69e+08,169500000
"317","1",169500000,1.7e+08
"318","1",1.7e+08,170500000
"319","1",170500000,1.71e+08
"320","1",1.71e+08,171500000
"321","1",171500000,1.72e+08
"322","1",1.72e+08,172500000
"323","1",172500000,1.73e+08
"324","1",1.73e+08,173500000
"325","1",173500000,1.74e+08
"326","1",1.74e+08,174500000
"327","1",174500000,1.75e+08
"328","1",1.75e+08,175500000
"329","1",175500000,1.76e+08
"330","1",1.76e+08,176500000
"331","1",176500000,1.77e+08
"332","1",1.77e+08,177500000
"333","1",177500000,1.78e+08
"334","1",1.78e+08,178500000
"335","1",178500000,1.79e+08
"336","1",1.79e+08,179500000
"337","1",179500000,1.8e+08
"338","1",1.8e+08,180500000
"339","1",180500000,1.81e+08
"340","1",1.81e+08,181500000
"341","1",181500000,1.82e+08
"342","1",1.82e+08,182500000
"343","1",182500000,1.83e+08
"344","1",1.83e+08,183500000
"345","1",183500000,1.84e+08
"346","1",1.84e+08,184500000
